"PMID","ncol","nrow","nwithbatch","deceased"
"15897565",63,13104,63,0
"16996261",54,12681,0,0
"17290060",117,13104,117,67
"18593951",195,13104,195,129
"18698038",285,19816,285,113
"19047114",83,6536,0,15
"19192944",157,20577,0,113
"19294737",80,13104,80,21
"19318476",42,13104,42,22
"19440550",103,13104,103,0
"19486012",53,16889,0,0
"19962670",63,19816,63,41
"20300634",110,20106,0,46
"20492709",140,19816,140,0
"20547991",28,19816,28,17
"20547991",42,8995,42,23
"21720365",261,20502,0,143
"21720365",554,799,0,286
"21720365",578,13104,577,290
"22101765",107,19816,107,76
"22241791",40,20106,0,22
"22241791",260,20106,0,121
"22348002",129,10357,0,73
"22348014",58,19816,58,36
"22492981",103,359,0,57
"22497737",204,16048,0,57
"23934190",60,19816,60,0
"24368280",172,8211,0,112
"PMID unknown",66,5251,66,0
"PMID unknown",204,19816,204,0
